id,url,reposted,poster,reposts,comments,creat_at,text
'3552436406794081,http://api.t.sina.com.cn/3178231843/statuses/3552436406794081,数据挖掘_PHP,DanisL,0,0,2013-03-05 10:25:03,虽然很早就想学了,但是没有集群额..//@yongsun: //@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552436293440572,http://api.t.sina.com.cn/2465991392/statuses/3552436293440572,数据挖掘_PHP,麻将湖,0,0,2013-03-05 10:24:36,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552436188932212,http://api.t.sina.com.cn/2841727664/statuses/3552436188932212,数据挖掘_PHP,中国云计算论坛,4,0,2013-03-05 10:24:09,分享：Hadoop视频地址： http://t.cn/zY8JjWq //@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552435802665366,http://api.t.sina.com.cn/1932487377/statuses/3552435802665366,数据挖掘_PHP,拉普拉斯之钥,0,0,2013-03-05 10:22:38,//@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552435706188568,http://api.t.sina.com.cn/2936446807/statuses/3552435706188568,数据挖掘_PHP,金金2936446807,0,0,2013-03-05 10:22:16,//@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552435425147194,http://api.t.sina.com.cn/2936446807/statuses/3552435425147194,数据挖掘_PHP,金金2936446807,0,0,2013-03-05 10:21:09,转发微博
'3552435253166325,http://api.t.sina.com.cn/1449315640/statuses/3552435253166325,数据挖掘_PHP,挠头蛇,1,0,2013-03-05 10:20:28,好东西，赞！//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552435198635960,http://api.t.sina.com.cn/1941342995/statuses/3552435198635960,数据挖掘_PHP,千年王八万年博,0,0,2013-03-05 10:20:15,[good]//@yongsun: //@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552435157184332,http://api.t.sina.com.cn/1929505255/statuses/3552435157184332,数据挖掘_PHP,三字文-华,0,0,2013-03-05 10:20:05,[给力]//@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552434985065179,http://api.t.sina.com.cn/2338205521/statuses/3552434985065179,数据挖掘_PHP,屈春河,0,0,2013-03-05 10:19:22,//@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552434758645088,http://api.t.sina.com.cn/2841727664/statuses/3552434758645088,数据挖掘_PHP,中国云计算论坛,3,3,2013-03-05 10:18:30,谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552434708217803,http://api.t.sina.com.cn/1400571844/statuses/3552434708217803,数据挖掘_PHP,光普无言,0,2,2013-03-05 10:18:18,//@JunJieLi: //@王金龙VI: @mark //@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552434095796855,http://api.t.sina.com.cn/1750488505/statuses/3552434095796855,数据挖掘_PHP,花火易碎,0,0,2013-03-05 10:15:52,//@数据挖掘_PHP:功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
